0;191046;\xe9\x35\x11\x00\x00;jmp 0x192180
1;192180;\x55;push ebp
2;192181;\x8b\xec;mov ebp, esp
3;192183;\xe8\xd8\xfc\xff\xff;call 0x191e60
4;191e60;\x55;push ebp
5;191e61;\x8b\xec;mov ebp, esp
6;191e63;\xe8\x8c\xf3\xff\xff;call 0x1911f4
7;1911f4;\xe9\x77\x22\x00\x00;jmp 0x193470
8;193470;\x55;push ebp
9;193471;\x8b\xec;mov ebp, esp
10;193473;\x83\xec\x14;sub esp, 0x14
11;193476;\xc7\x45\xf4\x00\x00\x00\x00;mov dword ptr [ebp-0xc], 0x0
12;19347d;\xc7\x45\xf8\x00\x00\x00\x00;mov dword ptr [ebp-0x8], 0x0
13;193484;\x81\x3d\x24\x90\x19\x00\x4e\xe6\x40\xbb;cmp dword ptr [0x199024], 0xbb40e64e
14;19348e;\x74\x1f;jz 0x1934af
15;193490;\xa1\x24\x90\x19\x00;mov eax, dword ptr [0x199024]
16;193495;\x25\x00\x00\xff\xff;and eax, 0xffff0000
17;19349a;\x74\x13;jz 0x1934af
18;19349c;\x8b\x0d\x24\x90\x19\x00;mov ecx, dword ptr [0x199024]
19;1934a2;\xf7\xd1;not ecx
20;1934a4;\x89\x0d\x20\x90\x19\x00;mov dword ptr [0x199020], ecx
21;1934aa;\xe9\x9a\x00\x00\x00;jmp 0x193549
22;193549;\x8b\xe5;mov esp, ebp
23;19354b;\x5d;pop ebp
24;19354c;\xc3;ret 
25;191e68;\xe8\x13\x00\x00\x00;call 0x191e80
26;191e80;\x55;push ebp
27;191e81;\x8b\xec;mov ebp, esp
28;191e83;\x6a\xfe;push 0xfffffffe
29;191e85;\x68\x88\x7e\x19\x00;push 0x197e88
30;191e8a;\x68\x30\x3b\x19\x00;push 0x193b30
31;191e8f;\x64\xa1\x00\x00\x00\x00;mov eax, dword ptr fs:[0x0]
32;191e95;\x50;push eax
33;191e96;\x83\xc4\xd0;add esp, 0xffffffd0
34;191e99;\x53;push ebx
35;191e9a;\x56;push esi
36;191e9b;\x57;push edi
37;191e9c;\xa1\x24\x90\x19\x00;mov eax, dword ptr [0x199024]
38;191ea1;\x31\x45\xf8;xor dword ptr [ebp-0x8], eax
39;191ea4;\x33\xc5;xor eax, ebp
40;191ea6;\x50;push eax
41;191ea7;\x8d\x45\xf0;lea eax, ptr [ebp-0x10]
42;191eaa;\x64\xa3\x00\x00\x00\x00;mov dword ptr fs:[0x0], eax
43;191eb0;\x89\x65\xe8;mov dword ptr [ebp-0x18], esp
44;191eb3;\x6a\x01;push 0x1
45;191eb5;\xe8\xc6\xf3\xff\xff;call 0x191280
46;191280;\xe9\x5b\x1d\x00\x00;jmp 0x192fe0
47;192fe0;\x55;push ebp
48;192fe1;\x8b\xec;mov ebp, esp
49;192fe3;\x83\x7d\x08\x00;cmp dword ptr [ebp+0x8], 0x0
50;192fe7;\x75\x07;jnz 0x192ff0
51;192ff0;\xe8\x14\xe1\xff\xff;call 0x191109
52;191109;\xe9\x62\x34\x00\x00;jmp 0x194570
53;194570;\x55;push ebp
54;194571;\x8b\xec;mov ebp, esp
55;194573;\x83\xec\x40;sub esp, 0x40
56;194576;\xa1\x24\x90\x19\x00;mov eax, dword ptr [0x199024]
57;19457b;\x33\xc5;xor eax, ebp
58;19457d;\x89\x45\xfc;mov dword ptr [ebp-0x4], eax
59;194580;\x53;push ebx
60;194581;\x56;push esi
61;194582;\xc7\x05\xa8\x91\x19\x00\x00\x00\x00\x00;mov dword ptr [0x1991a8], 0x0
62;19458c;\xa1\x2c\x90\x19\x00;mov eax, dword ptr [0x19902c]
63;194591;\x83\xc8\x01;or eax, 0x1
64;194594;\xa3\x2c\x90\x19\x00;mov dword ptr [0x19902c], eax
65;194599;\x6a\x0a;push 0xa
66;19459b;\xe8\x53\xcd\xff\xff;call 0x1912f3
67;1912f3;\xe9\xda\x3b\x00\x00;jmp 0x194ed2
68;194ed2;\xff\x25\x40\xa0\x19\x00;jmp dword ptr [0x19a040]
69;1945a0;\x85\xc0;test eax, eax
70;1945a2;\x75\x07;jnz 0x1945ab
71;1945ab;\xc7\x45\xf0\x00\x00\x00\x00;mov dword ptr [ebp-0x10], 0x0
72;1945b2;\xc7\x45\xf4\x00\x00\x00\x00;mov dword ptr [ebp-0xc], 0x0
73;1945b9;\xc7\x45\xf8\x00\x00\x00\x00;mov dword ptr [ebp-0x8], 0x0
74;1945c0;\xc7\x05\xa8\x91\x19\x00\x01\x00\x00\x00;mov dword ptr [0x1991a8], 0x1
