0;331046;\xe9\x35\x11\x00\x00;jmp 0x332180
1;332180;\x55;push ebp
2;332181;\x8b\xec;mov ebp, esp
3;332183;\xe8\xd8\xfc\xff\xff;call 0x331e60
4;331e60;\x55;push ebp
5;331e61;\x8b\xec;mov ebp, esp
6;331e63;\xe8\x8c\xf3\xff\xff;call 0x3311f4
7;3311f4;\xe9\x77\x22\x00\x00;jmp 0x333470
8;333470;\x55;push ebp
9;333471;\x8b\xec;mov ebp, esp
10;333473;\x83\xec\x14;sub esp, 0x14
11;333476;\xc7\x45\xf4\x00\x00\x00\x00;mov dword ptr [ebp-0xc], 0x0
12;33347d;\xc7\x45\xf8\x00\x00\x00\x00;mov dword ptr [ebp-0x8], 0x0
13;333484;\x81\x3d\x24\x90\x33\x00\x4e\xe6\x40\xbb;cmp dword ptr [0x339024], 0xbb40e64e
14;33348e;\x74\x1f;jz 0x3334af
15;333490;\xa1\x24\x90\x33\x00;mov eax, dword ptr [0x339024]
16;333495;\x25\x00\x00\xff\xff;and eax, 0xffff0000
17;33349a;\x74\x13;jz 0x3334af
18;33349c;\x8b\x0d\x24\x90\x33\x00;mov ecx, dword ptr [0x339024]
19;3334a2;\xf7\xd1;not ecx
20;3334a4;\x89\x0d\x20\x90\x33\x00;mov dword ptr [0x339020], ecx
21;3334aa;\xe9\x9a\x00\x00\x00;jmp 0x333549
22;333549;\x8b\xe5;mov esp, ebp
23;33354b;\x5d;pop ebp
24;33354c;\xc3;ret 
25;331e68;\xe8\x13\x00\x00\x00;call 0x331e80
26;331e80;\x55;push ebp
27;331e81;\x8b\xec;mov ebp, esp
28;331e83;\x6a\xfe;push 0xfffffffe
29;331e85;\x68\x88\x7e\x33\x00;push 0x337e88
30;331e8a;\x68\x30\x3b\x33\x00;push 0x333b30
31;331e8f;\x64\xa1\x00\x00\x00\x00;mov eax, dword ptr fs:[0x0]
32;331e95;\x50;push eax
33;331e96;\x83\xc4\xd0;add esp, 0xffffffd0
34;331e99;\x53;push ebx
35;331e9a;\x56;push esi
36;331e9b;\x57;push edi
37;331e9c;\xa1\x24\x90\x33\x00;mov eax, dword ptr [0x339024]
38;331ea1;\x31\x45\xf8;xor dword ptr [ebp-0x8], eax
39;331ea4;\x33\xc5;xor eax, ebp
40;331ea6;\x50;push eax
41;331ea7;\x8d\x45\xf0;lea eax, ptr [ebp-0x10]
42;331eaa;\x64\xa3\x00\x00\x00\x00;mov dword ptr fs:[0x0], eax
43;331eb0;\x89\x65\xe8;mov dword ptr [ebp-0x18], esp
44;331eb3;\x6a\x01;push 0x1
45;331eb5;\xe8\xc6\xf3\xff\xff;call 0x331280
46;331280;\xe9\x5b\x1d\x00\x00;jmp 0x332fe0
47;332fe0;\x55;push ebp
48;332fe1;\x8b\xec;mov ebp, esp
49;332fe3;\x83\x7d\x08\x00;cmp dword ptr [ebp+0x8], 0x0
50;332fe7;\x75\x07;jnz 0x332ff0
